Title,Authors,Source Title,Publication Date,Publication Year,DOI,Total Citations,Search
High Thermopower in a Zn-Based 3D Semiconductive Metal-Organic Framework,"Park, Jihye; Hinckley, Allison C.; Huang, Zhehao; Chen, Gan; Yakovenko, Andrey A.; Zou, Xiaodong; Bao, Zhenan",JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,DEC 9 2020,2020.0,10.1021/jacs.0c09573,0,OTE
Effect of polar side chains on neutral and p-doped polythiophene,"Finn, Peter A.; Jacobs, Ian E.; Armitage, John; Wu, Ruiheng; Paulsen, Bryan D.; Freeley, Mark; Palma, Matteo; Rivnay, Jonathan; Sirringhaus, Henning; Nielsen, Christian B.",JOURNAL OF MATERIALS CHEMISTRY C,DEC 7 2020,2020.0,10.1039/d0tc04290k,0,OTE
Unravelling the Molecular Origin of Organic Semiconductors with High-Performance Thermoelectric Response,"Shi, Wen; Wong, Zicong Marvin; Deng, Tianqi; Wu, Gang; Yang, Shuo-Wang",ADVANCED FUNCTIONAL MATERIALS,,2020.0,10.1002/adfm.202007438,0,OTE
Degenerately Doped Semi-Crystalline Polymers for High Performance Thermoelectrics,"Lee, Yeran; Park, Juhyung; Son, Jaehoon; Woo, Han Young; Kwak, Eonghun",ADVANCED FUNCTIONAL MATERIALS,,2020.0,10.1002/adfm.202006900,0,OTE
Copper(I)-Based Flexible Organic-Inorganic Coordination Polymer and Analogues: High-Power Factor Thermoelectrics,"Xing, Guangzong; Li, Yuwei; Feng, Zhenzhen; Singh, David J.; Pauly, Fabian",ACS APPLIED MATERIALS & INTERFACES,DEC 2 2020,2020.0,10.1021/acsami.0c17148,0,OTE
Sequentially recover heavy metals from smelting wastewater using bioelectrochemical system coupled with thermoelectric generators,"Ai, Chenbing; Yan, Zhang; Hou, Shanshan; Huo, Qiang; Chai, Liyuan; Qiu, Guanzhou; Zeng, Weimin",ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,DEC 1 2020,2020.0,10.1016/j.ecoenv.2020.111174,0,OTE
Fabrication of PEDOT:PSS/Ag2Se Nanowires for Polymer-Based Thermoelectric Applications,"Park, Dabin; Kim, Minsu; Kim, Jooheon",POLYMERS,DEC 2020,2020.0,10.3390/polym12122932,0,OTE
Doping molecular organic semiconductors by diffusion from the vapor phase,"Peterson, Kelly A.; Patterson, Ashlea; Vega-Flick, Alejandro; Liao, Bolin; Chabinyc, Michael L.",MATERIALS CHEMISTRY FRONTIERS,DEC 1 2020,2020.0,10.1039/d0qm00442a,0,OTE
A cyano-rich small molecule dopant for organic thermoelectrics,"Tu, Kuan-Heng; Wang, Yang; Kiyota, Yasuhiro; Iwahashi, Takashi; Ouchi, Yukio; Mori, Takehiko; Michinobu, Tsuyoshi",ORGANIC ELECTRONICS,DEC 2020,2020.0,10.1016/j.orgel.2020.105978,0,OTE
"Highly conductive, ultra-flexible and continuously processable PEDOT:PSS fibers with high thermoelectric properties for wearable energy harvesting","Wen, Ningxuan; Fan, Zeng; Yang, Shuaitao; Zhao, Yongpeng; Cong, Tianze; Xu, Shihong; Zhang, Hao; Wang, Jianzhen; Huang, Hui; Li, Chengwei; Pan, Lujun",NANO ENERGY,DEC 2020,2020.0,10.1016/j.nanoen.2020.105361,0,OTE
Solution-processable n-type organic thermoelectric materials,"Jin, Ke; Hao, Feng; Ding, Liming",SCIENCE BULLETIN,NOV 30 2020,2020.0,10.1016/j.scib.2020.07.036,0,OTE
Persistent Conjugated Backbone and Disordered Lamellar Packing Impart Polymers with Efficient n-Doping and High Conductivities,"Lu, Yang; Yu, Zi-Di; Un, Hio-Ieng; Yao, Ze-Fan; You, Hao-Yang; Jin, Wenlong; Li, Liang; Wang, Zi-Yuan; Dong, Bo-Wei; Barlow, Stephen; Longhi, Elena; Di, Chong-an; Zhu, Daoben; Wang, Jie-Yu; Silva, Carlos; Marder, Seth R.; Pei, Jian",ADVANCED MATERIALS,,2020.0,10.1002/adma.202005946,0,OTE
Controlled synthesis of few-layer SnSe2 by chemical vapor deposition,"An, Boxing; Ma, Yang; Zhang, Guoqing; You, Congya; Zhang, Yongzhe",RSC ADVANCES,NOV 22 2020,2020.0,10.1039/d0ra08360g,0,OTE
The effect of aromatic ring size in electron deficient semiconducting polymers for n-type organic thermoelectrics,"Alsufyani, Maryam; Hallani, Rawad K.; Wang, Suhao; Xiao, Mingfei; Ji, Xudong; Paulsen, Bryan D.; Xu, Kai; Bristow, Helen; Chen, Hu; Chen, Xingxing; Sirringhaus, Henning; Rivnay, Jonathan; Fabiano, Simone; McCulloch, Iain",JOURNAL OF MATERIALS CHEMISTRY C,NOV 21 2020,2020.0,10.1039/d0tc03347b,0,OTE
Stable organic thermoelectric devices for self-powered sensor applications,"Mukaida, Masakazu; Kirihara, Kazuhiro; Horike, Shohei; Wei, Qingshuo",JOURNAL OF MATERIALS CHEMISTRY A,NOV 21 2020,2020.0,10.1039/d0ta08598g,0,OTE
Supramolecular Functionalization for Improving Thermoelectric Properties of Single-Walled Carbon Nanotubes-Small Organic Molecule Hybrids.,"Jang, Jae Gyu; Woo, Sun Young; Lee, Hwankyu; Lee, Eunji; Kim, Sung Hyun; Hong, Jong-In",ACS applied materials & interfaces,2020-Nov-18,2020.0,10.1021/acsami.0c13810,0,OTE
Development and multi-objective optimization of a newly proposed industrial heat recovery based cascaded hydrogen and ammonia synthesis system,"Ishaq, H.; Dincer, I",SCIENCE OF THE TOTAL ENVIRONMENT,NOV 15 2020,2020.0,10.1016/j.scitotenv.2020.140671,0,OTE
N-type organic thermoelectrics: demonstration of ZT > 0.3,"Liu, Jian; van der Zee, Bas; Alessandri, Riccardo; Sami, Selim; Dong, Jingjin; Nugraha, Mohamad I.; Barker, Alex J.; Rousseva, Sylvia; Qiu, Li; Qiu, Xinkai; Klasen, Nathalie; Chiechi, Ryan C.; Baran, Derya; Caironi, Mario; Anthopoulos, Thomas D.; Portale, Giuseppe; Havenith, Remco W. A.; Marrink, Siewert J.; Hummelen, Jan C.; Koster, L. Jan Anton",NATURE COMMUNICATIONS,NOV 10 2020,2020.0,10.1038/s41467-020-19537-8,0,OTE
"Unique Thermoelectric Properties Induced by Intrinsic Nanostructuring in a Polycrystalline Thin-Film Two-Dimensional Metal-Organic Framework, Copper Benzenehexathiol","Tsuchikawa, Ryuichi; Lotfizadeh, Neda; Lahiri, Nabajit; Liu, Shuwan; Lach, Mackenzie; Slam, Celine; Louie, Janis; Deshpande, Vikram V.",PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE,DEC 2020,2020.0,10.1002/pssa.202000437,0,OTE
"2D layered all-inorganic halide perovskites: recent trends in their structure, synthesis and properties","Acharyya, Paribesh; Kundu, Kaushik; Biswas, Kanishka",NANOSCALE,NOV 7 2020,2020.0,10.1039/d0nr06138g,0,OTE
Experimental study on cascade utilization of ship's waste heat based on TEG-ORC combined cycle,"Liu, Changxin; Ye, Wenxiang; Li, Huaan; Liu, Jianhao; Zhao, Cong; Mao, Zhuofan; Pan, Xinxiang",INTERNATIONAL JOURNAL OF ENERGY RESEARCH,,2020.0,10.1002/er.6083,0,OTE
"Determination of the structural, electronic, optoelectronic and thermodynamic properties of the methylxanthine molecules theophylline and theobromine","Ejuh, G. W.; Ndjaka, J. M. B.; Tchangnwa Nya, F.; Ndukum, P. L.; Fonkem, C.; Tadjouteu Assatse, Y.; Yossa Kamsi, R. A.",OPTICAL AND QUANTUM ELECTRONICS,NOV 1 2020,2020.0,10.1007/s11082-020-02617-w,0,OTE
Constructing Ordered-Structure Organic Thermoelectric Films via Supramolecular Self-Assembly of PEDOT:PSS and Conjugated Triblock Copolymer,"Fu, Ping; Qiao, Xuan; Yao, Jun-An; Li, Hui; Zhang, Yun-Fei; Lin, Zhi-Dong; Wang, Sheng-Gao; Du, Fei-Peng",SYNTHETIC METALS,NOV 2020,2020.0,10.1016/j.synthmet.2020.116536,0,OTE
Acceptor-acceptor-type conjugated polymer for use in n-type organic thin-film transistors and thermoelectric devices,"Jeong, Moon-Ki; Suh, Eui Hyun; Lee, Kyumin; Jang, Jaeyoung; Jung, In Hwan",ORGANIC ELECTRONICS,NOV 2020,2020.0,10.1016/j.orgel.2020.105921,0,OTE
A Thermoelectric Temperature Control Module for a Portable Fluorescent Sensing Platform,"Robertson, Brianna I.; Shin, Young-Ho; Choi, Jin-Woo",JOURNAL OF THE ELECTROCHEMICAL SOCIETY,NOV 1 2020,2020.0,10.1149/1945-7111/abc35d,0,OTE
Preparation and Thermoelectric Properties of Semiconducting Single-Walled Carbon Nanotubes/Regioregular Poly(3-dodecylthiophene) Composite Films,"Wang, Mengdi; Yao, Qin; Qu, Sanyin; Chen, Yanling; Li, Hui; Chen, Lidong",POLYMERS,NOV 2020,2020.0,10.3390/polym12112720,0,OTE
In situ fabricated PEDOT:PSS:PANI with enhanced thermoelectric performance by organic solvent and CSA treatment,"Yang, Jiaji; Jiang, Qinglin; Zhang, Jiang; Xu, Jingkun; Liu, Jing; Liu, Peipei; Liu, Guoqiang; Wang, Yeye; Jiang, Fengxing",SYNTHETIC METALS,NOV 2020,2020.0,10.1016/j.synthmet.2020.116546,0,OTE
"Electronic, optical, and thermoelectric properties of perovskite variants A(2)BX(6): Insight and design via first-principles calculations","Faizan, Muhammad; Khan, Shah Haidar; Khachai, Houari; Seddik, Taieb; Bin Omran, Saad; Khenata, Rabah; Xie, Jiahao; AL-Anazy, Murefah Mana",INTERNATIONAL JOURNAL OF ENERGY RESEARCH,,2020.0,10.1002/er.6118,0,OTE
Effects of Counter-Ion Size on Delocalization of Carriers and Stability of Doped Semiconducting Polymers,"Thomas, Elayne M.; Peterson, Kelly A.; Balzer, Alex H.; Rawlings, Dakota; Stingelin, Natalie; Segalman, Rachel A.; Chabinyc, Michael L.",ADVANCED ELECTRONIC MATERIALS,DEC 2020,2020.0,10.1002/aelm.202000595,0,OTE
"Strain Effects on the n-Type Thermoelectric Performance of the Small-Molecule Organic Semiconductor 2-5-Difluoro-7,7,8,8-Tetracyanoquinodimethane","Wong, Zicong Marvin; Deng, Tianqi; Shi, Wen; Wu, Gang; Yang, Shuo-Wang",ACS APPLIED ENERGY MATERIALS,OCT 26 2020,2020.0,10.1021/acsaem.0c01875,0,OTE
Dichlorinated Dithienylethene-Based Copolymers for Air-Stable n-Type Conductivity and Thermoelectricity,"Han, Jinfeng; Fan, Huidong; Zhang, Qingyang; Hu, Qin; Russell, Thomas P.; Katz, Howard E.",ADVANCED FUNCTIONAL MATERIALS,,2020.0,10.1002/adfm.202005901,0,OTE
Bronsted Acid Doping of P3HT with Largely Soluble Tris(pentafluorophenyl)borane for Highly Conductive and Stable Organic Thermoelectrics Via One-Step Solution Mixing,"Suh, Eui Hyun; Oh, Jong Gyu; Jung, Jaemin; Noh, Sung Hoon; Lee, Taek Seong; Jang, Jaeyoung",ADVANCED ENERGY MATERIALS,,2020.0,10.1002/aenm.202002521,0,OTE
Chemical doping of organic semiconductors for thermoelectric applications,"Zhao, Wenrui; Ding, Jiamin; Zou, Ye; Di, Chong-an; Zhu, Daoben",CHEMICAL SOCIETY REVIEWS,OCT 21 2020,2020.0,10.1039/d0cs00204f,0,OTE
Improving the power generation efficiency with the use of LNG as cold source by thermoelectric generators for hydrogen production,"Musharavati, Farayi; Saadat-Targhi, Morteza; Khanmohammadi, Shoaib; Khanmohammadi, Saber",INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,OCT 16 2020,2020.0,10.1016/j.ijhydene.2020.07.107,0,OTE
Temperature Dependence of Field-Effect Thermoelectric Power in Rubrene Crystals,"Kiyota, Yasuhiro; Kawamoto, Tadashi; Mori, Takehiko",JOURNAL OF PHYSICAL CHEMISTRY C,OCT 15 2020,2020.0,10.1021/acs.jpcc.0c07085,0,OTE
Nanoparticles of Molecular Conductors and Superconductors: Progress Over the Last Ten Years,"Jacob, Kane; de Caro, Dominique; Faulmann, Christophe; Valade, Lydie",EUROPEAN JOURNAL OF INORGANIC CHEMISTRY,DEC 7 2020,2020.0,10.1002/ejic.202000761,0,OTE
Controlled single-spin transport in thermally driven molecular devices containing graphene electrodes modulated by quantum resonance,"Liu, Y. S.; Zou, X. L.; Dong, Y. J.; Yu, H. L.; Zhang, J.; Wang, X. F.; Yang, X. F.",PHYSICAL REVIEW B,OCT 14 2020,2020.0,10.1103/PhysRevB.102.155415,0,OTE
Thermoelectric power factor exceeding 50 mu W m(-1)K(-2)from water-borne colloids of polymer semiconductors,"Nam, Geon-Hee; Ha, Jae Un; Chung, Dae Sung",JOURNAL OF MATERIALS CHEMISTRY C,OCT 14 2020,2020.0,10.1039/d0tc03667f,0,OTE
"Thermal conductance in single molecules and self-assembled monolayers: physicochemical insights, progress, and challenges","Park, Sohyun; Jang, Jiung; Kim, Hojin; Park, Dong Il; Kim, Kyeongtae; Yoon, Hyo Jae",JOURNAL OF MATERIALS CHEMISTRY A,OCT 14 2020,2020.0,10.1039/d0ta07095e,0,OTE
Electrochemical Synthesis of an Organic Thermoelectric Power Generator,"Serrano-Claumarchirant, Jose F.; Brotons-Alcazar, Isaac; Culebras, Mario; Sanchis, Maria J.; Cantarero, Andres; Munoz-Espi, Rafael; Gomez, Clara M.",ACS APPLIED MATERIALS & INTERFACES,OCT 14 2020,2020.0,10.1021/acsami.0c12076,0,OTE
Highly Conducting Organic-Inorganic Hybrid Copper Sulfides CuxC6S6(x=4 or 5.5): Ligand-Based Oxidation-Induced Chemical and Electronic Structure Modulation,"Huang, Xing; Qiu, Yi; Wang, Yishan; Liu, Liyao; Wu, Xiaoyu; Liang, Yingying; Cui, Yutao; Sun, Yimeng; Zou, Ye; Zhu, Jia; Fang, Weihai; Sun, Junliang; Xu, Wei; Zhu, Daoben",ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,DEC 7 2020,2020.0,10.1002/anie.202009613,0,OTE
"Organic Bioelectronics: Using Highly Conjugated Polymers to Interface with Biomolecules, Cells, and Tissues in the Human Body","Higgins, Stuart G.; Lo Fiego, Alessandra; Patrick, Ijeoma; Creamer, Adam; Stevens, Molly M.",ADVANCED MATERIALS TECHNOLOGIES,NOV 2020,2020.0,10.1002/admt.202000384,0,OTE
Size- and Temperature-Dependent Suppression of Phonon Thermal Conductivity in Carbon Nanotube Thermoelectric Films,"Wesenberg, Devin J.; Roos, Michael J.; Avery, Azure D.; Blackburn, Jeffrey L.; Ferguson, Andrew J.; Zink, Barry L.",ADVANCED ELECTRONIC MATERIALS,NOV 2020,2020.0,10.1002/aelm.202000746,0,OTE
Thermoelectric Properties of n-type PEDOT:PSS/Boron Phosphate Hybrid Composites,"Ugraskan, Volkan; Karaman, Ferdane",JOURNAL OF ELECTRONIC MATERIALS,DEC 2020,2020.0,10.1007/s11664-020-08506-y,0,OTE
Enhanced thermoelectric performance of SWNT/organic small molecule (OSM) hybrid materials by tuning of the energy level of OSMs,"Kim, Tae-hoon; Jang, Jae Gyu; Hong, Jong-In",JOURNAL OF MATERIALS CHEMISTRY C,OCT 7 2020,2020.0,10.1039/d0tc03422c,0,OTE
Laser synthesis of 2D structures for photo-thermo sensors with high sensitivity,"Stefan, N.; Mulenko, S. A.; Skoryk, M. A.; Popov, V. M.; Gudymenko, O. Yo",APPLIED PHYSICS B-LASERS AND OPTICS,OCT 3 2020,2020.0,10.1007/s00340-020-07521-5,0,OTE
"Computational determination of the physical-thermoelectric parameters of tin-based organomatallic halide perovskites (CH3NH3SnX3, X = Br and I): Emerging materials for optoelectronic devices","Shukla, Akash; Sharma, Vipan Kumar; Gupta, Saral Kumar; Verma, Ajay Singh",MATERIALS CHEMISTRY AND PHYSICS,OCT 1 2020,2020.0,10.1016/j.matchemphys.2020.123389,0,OTE
Effects of conductivity-enhancement reagents on self-healing properties of PEDOT:PSS films,"Xin, Xing; Xue, Zexu; Gao, Nan; Yu, Jiarui; Liu, Hongtao; Zhang, Wenna; Xu, Jingkun; Chen, Shuai",SYNTHETIC METALS,OCT 2020,2020.0,10.1016/j.synthmet.2020.116503,0,OTE
A Highly Conductive Conjugated Polyelectrolyte for Flexible Organic Thermoelectrics,"Kee, Seyoung; Haque, Md Azimul; Lee, Yeran; Thanh Luan Nguyen; Villalva, Diego Rosas; Troughton, Joel; Emwas, Abdul-Hamid; Alshareef, Husam N.; Woo, Han Young; Baran, Derya",ACS APPLIED ENERGY MATERIALS,SEP 28 2020,2020.0,10.1021/acsaem.0c01213,0,OTE
Enhanced Thermoelectric Performance and Lifetime in Acid-Doped PEDOT:PSS Films Via Work Function Modification,"Villalva, Diego Rosas; Haque, Md Azimul; Nugraha, Mohamad Insan; Baran, Derya",ACS APPLIED ENERGY MATERIALS,SEP 28 2020,2020.0,10.1021/acsaem.0c01511,0,OTE
HOMO-HOMO Electron Transfer: An Elegant Strategy for p-Type Doping of Polymer Semiconductors toward Thermoelectric Applications,"Goel, Mahima; Siegert, Marie; Krauss, Gert; Mohanraj, John; Hochgesang, Adrian; Heinrich, David C.; Fried, Martina; Pflaum, Jens; Thelakkat, Mukundan",ADVANCED MATERIALS,OCT 27 2020,2020.0,10.1002/adma.202003596,0,OTE
Rashba Splitting in Two Dimensional Hybrid Perovskite Materials for High Efficient Solar and Heat Energy Harvesting,"Kagdada, Hardik L.; Gupta, Sanjeev K.; Sahoo, Satyaprakash; Singh, Dheeraj K.",JOURNAL OF PHYSICAL CHEMISTRY LETTERS,SEP 17 2020,2020.0,10.1021/acs.jpclett.0c01858,0,OTE
High Thermoelectric Performance in n-Type Perylene Bisimide Induced by the Soret Effect,"Jiang, Qinglin; Sun, Hengda; Zhao, Duokai; Zhang, Fengling; Hu, Dehua; Jiao, Fei; Qin, Leiqiang; Linseis, Vincent; Fabiano, Simone; Crispin, Xavier; Ma, Yuguang; Cao, Yong",ADVANCED MATERIALS,NOV 12 2020,2020.0,10.1002/adma.202002752,0,OTE
Reduction of the Lattice Thermal Conductivity of Polymer Semiconductors by Molecular Doping,"Zapata-Arteaga, Osnat; Perevedentsev, Aleksandr; Marina, Sara; Martin, Jaime; Sebastian Reparaz, Juan; Campoy-Quiles, Mariano",ACS ENERGY LETTERS,SEP 11 2020,2020.0,10.1021/acsenergylett.0c01410,0,OTE
Investigation of organic thermoelectric materials using potential-step chronocoulometry: Effect of polymerization methods on thermoelectric properties of poly(3-hexylthiophene),"Imae, Ichiro; Akazawa, Ryosuke; Ooyama, Yousuke; Harima, Yutaka",JOURNAL OF POLYMER SCIENCE,NOV 1 2020,2020.0,10.1002/pol.20200506,0,OTE
Paramagnetic Conducting Metal-Organic Frameworks with Three-Dimensional Structure,"Wu, Xiaoyu; Qiu, Yi; Chen, Zhijun; Guan, Bo; Hao, Xiang; Rykov, Alexandre, I; Sun, Yimeng; Liu, Liyao; Zou, Ye; Sun, Junliang; Xu, Wei; Zhu, Daoben",ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,NOV 16 2020,2020.0,10.1002/anie.202009253,0,OTE
Highly conductive wet-spun PEDOT:PSS fibers for applications in electronic textiles,"Sarabia-Riquelme, Ruben; Andrews, Rodney; Anthony, John E.; Weisenberger, Matthew C.",JOURNAL OF MATERIALS CHEMISTRY C,SEP 7 2020,2020.0,10.1039/d0tc02558e,0,OTE
Fully direct written organic micro-thermoelectric generators embedded in a plastic foil,"Massetti, M.; Bonfadini, S.; Nava, D.; Butti, M.; Criante, L.; Lanzani, G.; Qiu, L.; Hummelen, J. C.; Liu, J.; Koster, L. J. A.; Caironi, M.",NANO ENERGY,SEP 2020,2020.0,10.1016/j.nanoen.2020.104983,0,OTE
Phase transition in triglycine sulphate investigated using two-phase bridge measurements,"Trybus, Mariusz",INFRARED PHYSICS & TECHNOLOGY,SEP 2020,2020.0,10.1016/j.infrared.2020.103409,0,OTE
Flexible 3D Architectured Piezo/Thermoelectric Bimodal Tactile Sensor Array for E-Skin Application,"Zhu, Pengcheng; Wang, Yalong; Wang, Yao; Mao, Hongye; Zhang, Qiang; Deng, Yuan",ADVANCED ENERGY MATERIALS,OCT 20 2020,2020.0,10.1002/aenm.202001945,0,OTE
"Enhancement of the thermoelectric performance of DPP based polymers by introducing one 3,4-ethylenedioxythiophene electron-rich building block","Liu, Zhitian; Hu, Yanchuan; Li, Pengcheng; Wen, Jing; He, Jungang; Gao, Xiang",JOURNAL OF MATERIALS CHEMISTRY C,AUG 21 2020,2020.0,10.1039/d0tc01047b,0,OTE
"DFT study of the enhancement of physico-chemical, nonlinear and optoelectronic properties of the 2-cyano-3-[4(diphenylamino) phenyl] acrylic acid molecule by doping with the potassium atom","Fonkem, C. C.; Ndjaka, J. M. B.; Ejuh, G. W.",BULLETIN OF MATERIALS SCIENCE,AUG 20 2020,2020.0,10.1007/s12034-020-02175-7,0,OTE
Ultrahigh Thermoelectric Power Generation from Both Ion Diffusion by Temperature Fluctuation and Hole Accumulation by Temperature Gradient,"Cheng, Hanlin; Ouyang, Jianyong",ADVANCED ENERGY MATERIALS,OCT 2020,2020.0,10.1002/aenm.202001633,0,OTE
Highly efficient thermo-electrochemical energy harvesting from graphene-carbon nanotube 'hybrid' aerogels,"Gupta, Sanju; Meek, Romney",APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING,AUG 15 2020,2020.0,10.1007/s00339-020-03902-x,0,OTE
Thermal conductivity of one-dimensional organic nanowires: effect of mass difference phonon scattering,"Liu, Bohai; Zhou, Jun; Xu, Xiangfan; Li, Baowen",NANOTECHNOLOGY,AUG 7 2020,2020.0,10.1088/1361-6528/ab8c75,0,OTE
Developing printable thermoelectric materials based on graphene nanoplatelet/ethyl cellulose nanocomposites,"Mardi, Saeed; Risi Ambrogioni, Marco; Reale, Andrea",MATERIALS RESEARCH EXPRESS,AUG 2020,2020.0,10.1088/2053-1591/ababc0,0,OTE
Synergistic effects of water and carbon dioxide on the reversible thermoelectric behaviors of polyethyleneimine/single-walled carbon nanotubes composites,"Peng, Xiaoxi; Liu, Zhekun; Yao, Junan; Li, Hui; Zhang, Yunfei; Yan, Guoping; Du, Feipeng",SYNTHETIC METALS,AUG 2020,2020.0,10.1016/j.synthmet.2020.116429,0,OTE
Effect of organic nano-components on the thermoelectric properties of Sb2Te3 nanocrystal thin film,"Wei, Meng; Chen, Tian-bao; Hu, Ju-guang; Chen, Shuo; Ma, Hong-li; Luo, Jing-ting; Liang, Guang-xing; Zhang, Xiang-hua; Fan, Ping; Zheng, Zhuang-hao",SCRIPTA MATERIALIA,AUG 2020,2020.0,10.1016/j.scriptamat.2020.04.028,0,OTE
Surface Chemistry of Ternary Nanocrystals: Engineering the Deposition of Conductive NaBiS2 Films,"Medina-Gonzalez, Alan M.; Rosales, Bryan A.; Hamdeh, Umar H.; Panthani, Matthew G.; Vela, Javier",CHEMISTRY OF MATERIALS,JUL 28 2020,2020.0,10.1021/acs.chemmater.0c01689,0,OTE
Broadband Nickel Sulfide/Nickel Foam-Based Solar Evaporator for Highly Efficient Water Purification and Electricity Generation,"Jiang, Huiling; Ai, Lunhong; Chen, Mei; Jiang, Jing",ACS SUSTAINABLE CHEMISTRY & ENGINEERING,JUL 27 2020,2020.0,10.1021/acssuschemeng.0c02829,0,OTE
Solvent-Mediated n-Type Doping of SWCNTs to Achieve Superior Thermoelectric Power Factor,"Chen, Ruisi; Tang, Junhui; Yan, Yajie; Liang, Ziqi",ADVANCED MATERIALS TECHNOLOGIES,SEP 2020,2020.0,10.1002/admt.202000288,0,OTE
Substitutional doping of hybrid organic-inorganic perovskite crystals for thermoelectrics,"Tang, Weidong; Zhang, Jinshuai; Ratnasingham, Sinclair; Liscio, Fabiola; Chen, Kan; Liu, Tianjun; Wan, Kening; Galindez, Eugenio Suena; Bilotti, Emiliano; Reece, Mike; Baxendale, Mark; Milita, Silvia; McLachlan, Martyn A.; Su, Lei; Fenwick, Oliver",JOURNAL OF MATERIALS CHEMISTRY A,JUL 21 2020,2020.0,10.1039/d0ta03648j,0,OTE
"Pressure-driven chemical lock-in structure and optical properties in Sillen compounds PbBiO2X (X = Cl, Br, and I)","Zhang, Qian; Liu, Xuqiang; Li, Nana; Wang, Bihan; Huang, Quan; Wang, Lin; Zhang, Dongzhou; Wang, Yonggang; Yang, Wenge",JOURNAL OF MATERIALS CHEMISTRY A,JUL 21 2020,2020.0,10.1039/d0ta03291c,0,OTE
Flexible Thermoelectric Double-Layer Inorganic/Organic Composites Synthesized by Additive Manufacturing,"Du, Yong; Chen, Jiageng; Meng, Qiufeng; Xu, Jiayue; Lu, Jun; Paul, Biplab; Eklund, Per",ADVANCED ELECTRONIC MATERIALS,AUG 2020,2020.0,10.1002/aelm.202000214,0,OTE
"Assessing the frontier: Active learning, model accuracy, and multi-objective candidate discovery and optimization","del Rosario, Zachary; Rupp, Matthias; Kim, Yoolhee; Antono, Erin; Ling, Julia",JOURNAL OF CHEMICAL PHYSICS,JUL 14 2020,2020.0,10.1063/5.0006124,0,OTE
Strategic Side-Chain Engineering Approach for Optimizing Thermoelectric Properties of Isoindigo-Based Conjugated Polymers,"Yoon, Sang Eun; Shin, So Jeong; Lee, Sang Yeon; Jeon, Gyeong G.; Kang, Hyunwoo; Seo, Hyungtak; Zheng, Jian; Kim, Jong H.",ACS APPLIED POLYMER MATERIALS,JUL 10 2020,2020.0,10.1021/acsapm.0c00332,0,OTE
Effect of the Conformation Changes of Polyelectrolytes on Organic Thermoelectric Performances,"Choi, Kyungwho; Son, Jihun; Park, Yong Tae; Cho, Jung Sang; Cho, Chungyeon",MACROMOLECULAR RESEARCH,OCT 2020,2020.0,10.1007/s13233-020-8133-x,0,OTE
Lightweight and Bulk Organic Thermoelectric Generators Employing Novel P-Type Few-Layered Graphene Nanoflakes,"Rafique, Saqib; Burton, Matthew R.; Badiei, Nafiseh; Gonzalez-Feijoo, Jorge; Mehraban, Shahin; Carnie, Matthew J.; Tarat, Afshin; Li, Lijie",ACS APPLIED MATERIALS & INTERFACES,JUL 8 2020,2020.0,10.1021/acsami.0c06050,0,OTE
"High-performance, air-stable, n-type thermoelectric films from a water-dispersed nickel-ethenetetrathiolate complex and ethylene glycol","Ueda, Kazuki; Yamada, Yuto; Terao, Toshiki; Manabe, Kei; Hirai, Tomoyasu; Asaumi, Yuta; Fujii, Syuji; Kawano, Shintaro; Muraoka, Masahiro; Murata, Michihisa",JOURNAL OF MATERIALS CHEMISTRY A,JUL 7 2020,2020.0,10.1039/d0ta04524a,0,OTE
Theoretical Study of Thermoelectric Properties of Covalent Organic Frameworks with Slipped Arrangement,"Chumakov, Yurii; Bayram, Gokhan",JOURNAL OF ELECTRONIC MATERIALS,SEP 2020,2020.0,10.1007/s11664-020-08287-4,0,OTE
Thermoelectric Properties of Metallocene Derivative Single-Molecule Junctions,"Al-Jobory, Alaa A.; Noori, Mohammed D.",JOURNAL OF ELECTRONIC MATERIALS,SEP 2020,2020.0,10.1007/s11664-020-08279-4,0,OTE
Thermoelectric Generation in Hybrid Electric Vehicles,"bin Dzulkfli, Muhamad Shazrul; Pesyridis, Apostolos; Gohil, Dhrumil",ENERGIES,JUL 2020,2020.0,10.3390/en13143742,0,OTE
Insights into the structural complexity of semi-crystalline polymer semiconductors: electron diffraction contributions,"Brinkmann, Martin",MATERIALS CHEMISTRY FRONTIERS,JUL 1 2020,2020.0,10.1039/d0qm00230e,0,OTE
Boosting the Power Factor of Benzodithiophene Based Donor-Acceptor Copolymers/SWCNTs Composites through Doping,"Chen, Zhongming; Lai, Mengfei; Cai, Lirong; Zhou, Wenqiao; Xie, Dexun; Pan, Chengjun; Qiu, Yongfu",POLYMERS,JUL 2020,2020.0,10.3390/polym12071447,0,OTE
Structure and Doping Optimization of IDT-Based Copolymers for Thermoelectrics,"Liu, Tongchao; Xie, Dexun; Xu, Jinjia; Pan, Chengjun",POLYMERS,JUL 2020,2020.0,10.3390/polym12071463,0,OTE
