wl1,a,b,c,d,e,f,h,g,j
2449.153,9.25E-04,0.3098,0.002986,0.482,0.3935,0.002675,0.3324,0.007071,0.1939
2449.635,9.50E-04,0.3099,0.00305,0.4822,0.3937,0.002575,0.3324,0.00706,0.194
2450.117,9.80E-04,0.31,0.003176,0.4825,0.3939,0.002484,0.3324,0.007093,0.1941
2450.599,9.92E-04,0.3101,0.00335,0.4828,0.3941,0.002412,0.3324,0.007171,0.1942
2451.081,9.78E-04,0.3102,0.003526,0.4831,0.3942,0.002368,0.3325,0.007274,0.1944
2451.564,9.42E-04,0.3103,0.003653,0.4834,0.3943,0.002369,0.3326,0.007382,0.1946
2452.046,9.04E-04,0.3103,0.003705,0.4836,0.3943,0.002419,0.3328,0.007475,0.1948
2452.528,8.89E-04,0.3104,0.003652,0.4837,0.3943,0.002529,0.333,0.007536,0.1949
2453.01,9.14E-04,0.3105,0.00351,0.4837,0.3944,0.002689,0.3333,0.007562,0.195
2453.492,9.78E-04,0.3107,0.003308,0.4837,0.3945,0.002877,0.3335,0.007557,0.1951
2453.974,0.001062,0.3109,0.003083,0.4836,0.3947,0.003057,0.3338,0.007526,0.1951
2454.456,0.001133,0.3111,0.002869,0.4836,0.3949,0.003192,0.3341,0.007477,0.1952
2454.938,0.001165,0.3112,0.002688,0.4835,0.395,0.003254,0.3342,0.007414,0.1952
2455.421,0.00115,0.3113,0.002556,0.4836,0.3952,0.003232,0.3343,0.007341,0.1952
2455.903,0.001103,0.3113,0.002489,0.4836,0.3953,0.003135,0.3343,0.007262,0.1952
2456.385,0.00105,0.3114,0.002498,0.4838,0.3953,0.002991,0.3343,0.007181,0.1952
2456.867,0.00102,0.3114,0.002597,0.4841,0.3953,0.002833,0.3342,0.007106,0.1952
2457.349,0.001021,0.3115,0.002776,0.4844,0.3954,0.002692,0.3342,0.007044,0.1952
2457.831,0.001046,0.3116,0.003017,0.4848,0.3955,0.002587,0.3342,0.007004,0.1952
2458.313,0.001069,0.3118,0.003284,0.4852,0.3956,0.002521,0.3342,0.006995,0.1953
2458.795,0.001069,0.3118,0.003539,0.4856,0.3958,0.002485,0.3343,0.007021,0.1954
2459.277,0.001034,0.3119,0.003744,0.486,0.3961,0.002474,0.3344,0.007095,0.1955
2459.76,9.71E-04,0.3119,0.003883,0.4863,0.3963,0.00248,0.3345,0.007211,0.1957
2460.242,9.02E-04,0.312,0.003951,0.4865,0.3964,0.002499,0.3346,0.007352,0.1959
2460.724,8.43E-04,0.312,0.003949,0.4867,0.3965,0.002527,0.3348,0.007483,0.1961
2461.206,7.97E-04,0.3121,0.003878,0.4867,0.3965,0.002556,0.3349,0.007564,0.1963
2461.688,7.51E-04,0.3121,0.003737,0.4868,0.3965,0.002576,0.335,0.007553,0.1964
2462.17,6.86E-04,0.3121,0.003533,0.4867,0.3966,0.002576,0.3351,0.007425,0.1963
2462.652,5.92E-04,0.3121,0.003296,0.4866,0.3966,0.002558,0.3352,0.0072,0.1962
2463.134,4.76E-04,0.3121,0.003064,0.4865,0.3968,0.002531,0.3353,0.006905,0.1959
2463.617,3.67E-04,0.3121,0.002881,0.4865,0.397,0.002512,0.3354,0.006602,0.1957
2464.099,3.06E-04,0.3121,0.002784,0.4866,0.3972,0.002517,0.3355,0.006353,0.1955
2464.581,3.13E-04,0.3122,0.002772,0.4867,0.3975,0.002549,0.3356,0.006195,0.1955
2465.063,3.94E-04,0.3124,0.002825,0.4869,0.3977,0.002591,0.3358,0.006153,0.1955
2465.545,5.13E-04,0.3126,0.002897,0.4872,0.3978,0.002615,0.3359,0.006207,0.1956
2466.027,6.28E-04,0.3128,0.002954,0.4874,0.3978,0.002592,0.336,0.006327,0.1958
2466.509,6.96E-04,0.313,0.002975,0.4875,0.3977,0.002503,0.336,0.00647,0.196
2466.991,6.98E-04,0.3131,0.002968,0.4877,0.3976,0.002357,0.336,0.006595,0.1962
2467.473,6.54E-04,0.3132,0.00295,0.4878,0.3975,0.002185,0.3359,0.006683,0.1964
2467.956,5.98E-04,0.3132,0.002938,0.488,0.3975,0.002026,0.3359,0.006724,0.1965
2468.438,5.76E-04,0.3133,0.002939,0.4881,0.3976,0.001914,0.3359,0.006724,0.1966
2468.92,6.17E-04,0.3134,0.002949,0.4883,0.3977,0.001869,0.3359,0.006694,0.1966
2469.402,7.27E-04,0.3136,0.002957,0.4885,0.3979,0.001897,0.3361,0.006643,0.1967
2469.884,8.72E-04,0.3139,0.002956,0.4886,0.398,0.001977,0.3362,0.006584,0.1967
2470.366,0.001004,0.3141,0.002943,0.4888,0.3982,0.002086,0.3365,0.006525,0.1967
2470.848,0.001074,0.3143,0.002919,0.4889,0.3983,0.002196,0.3367,0.006476,0.1967
2471.33,0.001046,0.3143,0.002878,0.489,0.3985,0.002281,0.3369,0.006444,0.1968
2471.813,9.23E-04,0.3143,0.002808,0.4891,0.3986,0.002319,0.337,0.006432,0.1968
2472.295,7.30E-04,0.3142,0.002696,0.4891,0.3987,0.002296,0.3371,0.006434,0.1969
2472.777,5.15E-04,0.3141,0.002538,0.4891,0.3988,0.002208,0.3371,0.006436,0.197
2473.259,3.32E-04,0.314,0.002345,0.4891,0.399,0.002058,0.3371,0.006422,0.197
2473.741,2.16E-04,0.314,0.002152,0.4891,0.3992,0.001873,0.337,0.006382,0.1971
2474.223,1.86E-04,0.314,0.002001,0.4891,0.3994,0.001682,0.3369,0.006316,0.1971
2474.705,2.24E-04,0.3142,0.001926,0.4892,0.3995,0.001517,0.3368,0.00624,0.1971
2475.187,2.98E-04,0.3143,0.001942,0.4893,0.3997,0.001408,0.3368,0.006174,0.1971
2475.669,3.62E-04,0.3145,0.002031,0.4896,0.3997,0.001369,0.3369,0.006136,0.1971
2476.152,3.79E-04,0.3146,0.002161,0.4899,0.3998,0.001407,0.3371,0.006129,0.1972
2476.634,3.40E-04,0.3147,0.002294,0.4902,0.3998,0.001505,0.3373,0.006142,0.1973
2477.116,2.55E-04,0.3147,0.002397,0.4904,0.3998,0.001656,0.3375,0.006157,0.1974
2477.598,1.60E-04,0.3147,0.002453,0.4906,0.3998,0.001835,0.3378,0.006156,0.1975
2478.08,1.01E-04,0.3147,0.002459,0.4908,0.3999,0.002017,0.3381,0.006135,0.1975
2478.562,1.14E-04,0.3148,0.002416,0.4909,0.4001,0.002172,0.3384,0.006099,0.1976
2479.044,1.96E-04,0.315,0.002338,0.491,0.4003,0.002277,0.3386,0.006063,0.1976
2479.526,3.21E-04,0.3152,0.002237,0.491,0.4005,0.002312,0.3387,0.006034,0.1976
2480.008,4.34E-04,0.3154,0.002128,0.4911,0.4007,0.002265,0.3388,0.00601,0.1977
2480.491,4.84E-04,0.3156,0.002027,0.4911,0.4009,0.002155,0.3388,0.00598,0.1977
2480.973,4.34E-04,0.3156,0.001949,0.4912,0.4012,0.00201,0.3387,0.005932,0.1978
2481.455,2.85E-04,0.3156,0.001905,0.4913,0.4014,0.001875,0.3387,0.005866,0.1978
2481.937,8.31E-05,0.3155,0.001894,0.4915,0.4016,0.001792,0.3387,0.005792,0.1978
2482.419,-1.16E-04,0.3154,0.001911,0.4917,0.4017,0.001788,0.3388,0.005728,0.1978
2482.901,-2.56E-04,0.3153,0.001943,0.4918,0.4018,0.00186,0.339,0.005693,0.1978
2483.383,-3.13E-04,0.3154,0.001975,0.492,0.4019,0.001972,0.3392,0.005697,0.1979
2483.865,-3.00E-04,0.3155,0.00199,0.4922,0.4019,0.002072,0.3394,0.005736,0.198
2484.348,-2.52E-04,0.3156,0.001967,0.4923,0.4019,0.002098,0.3396,0.0058,0.1982
2484.83,-2.21E-04,0.3158,0.001889,0.4924,0.4019,0.002018,0.3396,0.005875,0.1983
2485.312,-2.42E-04,0.3158,0.001741,0.4924,0.4018,0.001822,0.3395,0.005945,0.1985
2485.794,-3.20E-04,0.3159,0.001528,0.4924,0.4018,0.00154,0.3393,0.005998,0.1986
2486.276,-4.26E-04,0.3158,0.001275,0.4923,0.4017,0.00123,0.3391,0.006022,0.1987
2486.758,-5.20E-04,0.3158,0.001019,0.4922,0.4017,9.48E-04,0.3389,0.006008,0.1988
2487.24,-5.69E-04,0.3159,8.10E-04,0.4921,0.4017,7.46E-04,0.3388,0.005944,0.1988
2487.722,-5.65E-04,0.316,6.88E-04,0.4922,0.4017,6.46E-04,0.3389,0.00583,0.1987
2488.204,-5.30E-04,0.3161,6.77E-04,0.4923,0.4019,6.45E-04,0.339,0.005681,0.1987
2488.687,-5.01E-04,0.3163,7.64E-04,0.4926,0.402,7.16E-04,0.3391,0.005524,0.1986
2489.169,-5.11E-04,0.3163,9.21E-04,0.4929,0.4022,8.29E-04,0.3394,0.005389,0.1985
2489.651,-5.71E-04,0.3164,0.001108,0.4932,0.4024,9.55E-04,0.3396,0.005303,0.1985
2490.133,-6.70E-04,0.3164,0.001282,0.4936,0.4025,0.001075,0.3398,0.005282,0.1986
2490.615,-7.71E-04,0.3164,0.001415,0.4938,0.4026,0.001177,0.34,0.005321,0.1987
2491.097,-8.40E-04,0.3164,0.001501,0.4941,0.4026,0.001261,0.3402,0.005392,0.1988
2491.579,-8.53E-04,0.3165,0.001541,0.4943,0.4027,0.001328,0.3404,0.005473,0.199
2492.061,-8.10E-04,0.3166,0.001543,0.4945,0.4028,0.001382,0.3406,0.005543,0.1991
2492.544,-7.29E-04,0.3168,0.001511,0.4946,0.4029,0.001425,0.3407,0.005593,0.1993
2493.026,-6.38E-04,0.317,0.001444,0.4947,0.4031,0.001462,0.3409,0.005621,0.1994
2493.508,-5.60E-04,0.3172,0.001348,0.4947,0.4033,0.001501,0.341,0.00563,0.1994
2493.99,-5.10E-04,0.3173,0.001232,0.4948,0.4036,0.001547,0.3412,0.005622,0.1995
2494.472,-4.87E-04,0.3174,0.001115,0.4948,0.4038,0.0016,0.3413,0.005602,0.1996
2494.954,-4.95E-04,0.3175,0.001023,0.4949,0.404,0.001656,0.3415,0.005567,0.1996
2495.436,-5.39E-04,0.3176,9.73E-04,0.495,0.4041,0.001699,0.3416,0.005518,0.1996
2495.918,-6.29E-04,0.3176,9.72E-04,0.4952,0.4042,0.001713,0.3417,0.005461,0.1997
2496.4,-7.68E-04,0.3175,0.001013,0.4954,0.4043,0.001682,0.3418,0.005402,0.1997
2496.883,-9.52E-04,0.3175,0.001081,0.4956,0.4043,0.001596,0.3418,0.005348,0.1997
2497.365,-0.001159,0.3173,0.001149,0.4958,0.4044,0.001448,0.3418,0.005307,0.1997
2497.847,-0.001352,0.3173,0.001193,0.496,0.4044,0.001251,0.3417,0.005277,0.1998
2498.329,-0.001481,0.3172,0.001186,0.4962,0.4045,0.001017,0.3416,0.005253,0.1998
2498.811,-0.001523,0.3173,0.001123,0.4963,0.4046,7.73E-04,0.3415,0.005221,0.1999
2499.293,-0.001466,0.3174,0.001008,0.4963,0.4047,5.43E-04,0.3413,0.005172,0.1999
2499.775,-0.001325,0.3177,8.60E-04,0.4963,0.4048,3.49E-04,0.3412,0.005104,0.1999
2500.257,-0.00113,0.318,7.03E-04,0.4963,0.4048,2.16E-04,0.3412,0.005025,0.1999
2500.74,-9.26E-04,0.3183,5.57E-04,0.4963,0.4047,1.53E-04,0.3413,0.004952,0.1999
2501.222,-7.49E-04,0.3185,4.25E-04,0.4964,0.4046,1.81E-04,0.3414,0.004899,0.1999
2501.704,-6.39E-04,0.3187,2.98E-04,0.4964,0.4046,3.21E-04,0.3416,0.004879,0.2
2502.186,-6.06E-04,0.3189,1.64E-04,0.4964,0.4047,5.54E-04,0.342,0.004883,0.2001
2502.668,-6.55E-04,0.3189,2.42E-05,0.4964,0.4048,8.57E-04,0.3424,0.004897,0.2002
2503.15,-7.74E-04,0.3189,-9.81E-05,0.4965,0.405,0.001171,0.3428,0.004903,0.2002
2503.632,-9.27E-04,0.3189,-1.69E-04,0.4966,0.4053,0.00143,0.3432,0.004893,0.2003
2504.114,-0.00108,0.3188,-1.47E-04,0.4968,0.4057,0.001572,0.3434,0.004872,0.2004
2504.596,-0.001198,0.3188,-1.76E-05,0.497,0.406,0.001568,0.3435,0.004857,0.2004
2505.079,-0.001257,0.3188,1.99E-04,0.4974,0.4063,0.001423,0.3435,0.004869,0.2005
2505.561,-0.001266,0.3189,4.31E-04,0.4978,0.4065,0.001207,0.3434,0.004909,0.2006
2506.043,-0.001245,0.319,6.17E-04,0.4982,0.4066,9.78E-04,0.3433,0.004969,0.2008
2506.525,-0.001225,0.3191,6.90E-04,0.4984,0.4067,7.97E-04,0.3432,0.005031,0.2009
2507.007,-0.00124,0.3192,6.32E-04,0.4985,0.4067,7.02E-04,0.3432,0.005069,0.201
2507.489,-0.001302,0.3193,4.81E-04,0.4985,0.4067,6.88E-04,0.3433,0.005069,0.2011
2507.971,-0.001404,0.3193,3.04E-04,0.4985,0.4067,7.30E-04,0.3435,0.005032,0.2011
2508.453,-0.001513,0.3192,1.71E-04,0.4985,0.4068,7.84E-04,0.3436,0.00498,0.2012
2508.935,-0.001595,0.3193,1.23E-04,0.4986,0.4069,8.19E-04,0.3438,0.004934,0.2012
2509.418,-0.00162,0.3193,1.56E-04,0.4988,0.4071,8.23E-04,0.3439,0.004909,0.2012
2509.9,-0.001581,0.3195,2.31E-04,0.4991,0.4073,7.98E-04,0.344,0.004907,0.2013
2510.382,-0.001491,0.3197,2.99E-04,0.4993,0.4075,7.55E-04,0.344,0.004916,0.2014
2510.864,-0.001383,0.3199,3.25E-04,0.4995,0.4076,7.02E-04,0.3441,0.004922,0.2015
2511.346,-0.001291,0.3201,3.04E-04,0.4996,0.4077,6.37E-04,0.3441,0.004914,0.2016
2511.828,-0.001241,0.3202,2.55E-04,0.4997,0.4077,5.54E-04,0.3442,0.004895,0.2016
2512.31,-0.001246,0.3203,2.14E-04,0.4999,0.4077,4.49E-04,0.3442,0.004872,0.2017
2512.792,-0.001294,0.3203,2.10E-04,0.5,0.4078,3.32E-04,0.3441,0.004854,0.2017
2513.275,-0.001369,0.3204,2.60E-04,0.5002,0.4079,2.28E-04,0.3442,0.004841,0.2018
2513.757,-0.001443,0.3204,3.45E-04,0.5005,0.4081,1.62E-04,0.3442,0.00482,0.2018
2514.239,-0.001504,0.3204,4.44E-04,0.5007,0.4084,1.66E-04,0.3443,0.004775,0.2019
2514.721,-0.001552,0.3205,5.30E-04,0.501,0.4087,2.55E-04,0.3445,0.004696,0.2019
2515.203,-0.0016,0.3205,5.83E-04,0.5012,0.409,4.26E-04,0.3448,0.004587,0.2018
2515.685,-0.00166,0.3206,6.00E-04,0.5014,0.4093,6.55E-04,0.3451,0.004466,0.2018
2516.167,-0.001736,0.3206,5.89E-04,0.5015,0.4094,8.99E-04,0.3455,0.004357,0.2018
2516.649,-0.001818,0.3206,5.54E-04,0.5016,0.4094,0.001104,0.3458,0.004281,0.2018
2517.131,-0.001887,0.3206,5.00E-04,0.5018,0.4094,0.001219,0.346,0.004243,0.2018
2517.614,-0.001919,0.3207,4.24E-04,0.5018,0.4094,0.001211,0.3461,0.004232,0.2019
2518.096,-0.001891,0.3208,3.15E-04,0.5019,0.4093,0.001069,0.3461,0.004227,0.2019
2518.578,-0.001806,0.321,1.78E-04,0.5019,0.4094,8.37E-04,0.346,0.004209,0.202
2519.06,-0.001669,0.3212,2.51E-05,0.5019,0.4094,5.61E-04,0.3458,0.004169,0.202
2519.542,-0.001492,0.3215,-1.07E-04,0.502,0.4096,3.08E-04,0.3456,0.004111,0.2021
2520.024,-0.001301,0.3218,-1.89E-04,0.502,0.4097,1.23E-04,0.3456,0.004052,0.2021
2520.506,-0.001118,0.3221,-1.82E-04,0.5022,0.4099,4.45E-05,0.3456,0.004014,0.2021
2520.988,-9.63E-04,0.3223,-8.78E-05,0.5025,0.41,6.29E-05,0.3457,0.004008,0.2022
2521.471,-8.59E-04,0.3226,6.61E-05,0.5028,0.4102,1.56E-04,0.3459,0.004038,0.2023
2521.953,-8.20E-04,0.3227,2.20E-04,0.5031,0.4103,2.84E-04,0.3462,0.004089,0.2024
2522.435,-8.64E-04,0.3227,3.01E-04,0.5033,0.4105,4.16E-04,0.3464,0.004146,0.2026
2522.917,-0.001003,0.3227,2.40E-04,0.5034,0.4106,5.25E-04,0.3466,0.004188,0.2027
2523.399,-0.001224,0.3226,1.92E-05,0.5034,0.4106,5.94E-04,0.3468,0.004206,0.2028
2523.881,-0.001497,0.3224,-3.33E-04,0.5032,0.4107,6.21E-04,0.3469,0.0042,0.2028
2524.363,-0.001779,0.3222,-7.35E-04,0.503,0.4107,6.10E-04,0.347,0.00418,0.2029
2524.845,-0.002018,0.3221,-0.00109,0.5028,0.4107,5.76E-04,0.3471,0.004165,0.203
2525.327,-0.002173,0.322,-0.00131,0.5027,0.4108,5.36E-04,0.3472,0.004173,0.203
2525.81,-0.00222,0.3221,-0.001353,0.5028,0.4108,5.12E-04,0.3473,0.004218,0.2032
2526.292,-0.002163,0.3222,-0.001232,0.5031,0.411,5.19E-04,0.3474,0.004299,0.2033
2526.774,-0.002022,0.3225,-1.00E-03,0.5035,0.4113,5.66E-04,0.3475,0.004402,0.2035
2527.256,-0.001841,0.3228,-7.45E-04,0.5039,0.4116,6.45E-04,0.3477,0.004499,0.2037
2527.738,-0.001657,0.323,-5.41E-04,0.5043,0.4119,7.43E-04,0.3479,0.004554,0.2038
2528.22,-0.001497,0.3233,-4.24E-04,0.5046,0.4122,8.44E-04,0.3481,0.004549,0.2039
2528.702,-0.001377,0.3235,-3.94E-04,0.5048,0.4125,9.39E-04,0.3484,0.004475,0.2039
2529.184,-0.001298,0.3237,-4.12E-04,0.5049,0.4127,0.001029,0.3486,0.004358,0.2039
2529.667,-0.00126,0.3238,-4.32E-04,0.5051,0.4128,0.001117,0.3488,0.004231,0.2038
2530.149,-0.001268,0.3239,-4.16E-04,0.5052,0.4128,0.001204,0.3489,0.004138,0.2038
2530.631,-0.001311,0.324,-3.55E-04,0.5055,0.4128,0.001287,0.3491,0.004095,0.2038
2531.113,-0.001398,0.324,-2.48E-04,0.5057,0.4128,0.001344,0.3493,0.004116,0.2039
2531.595,-0.001507,0.324,-1.24E-04,0.506,0.4129,0.001366,0.3494,0.004173,0.2041
2532.077,-0.001617,0.324,-9.97E-06,0.5063,0.413,0.00134,0.3495,0.004233,0.2042
2532.559,-0.001703,0.324,7.23E-05,0.5065,0.4132,0.001275,0.3496,0.004261,0.2043
2533.041,-0.001746,0.324,1.09E-04,0.5067,0.4135,0.001179,0.3496,0.004236,0.2043
2533.523,-0.00174,0.3241,1.02E-04,0.5069,0.4137,0.001067,0.3496,0.004154,0.2043
2534.006,-0.001702,0.3243,7.06E-05,0.507,0.4139,9.52E-04,0.3496,0.004039,0.2043
2534.488,-0.001652,0.3244,3.80E-05,0.5072,0.4141,8.44E-04,0.3496,0.003924,0.2043
2534.97,-0.001607,0.3246,3.18E-05,0.5073,0.4142,7.52E-04,0.3496,0.003849,0.2043
2535.452,-0.001576,0.3247,6.82E-05,0.5075,0.4142,6.91E-04,0.3496,0.003844,0.2043
2535.934,-0.001555,0.3248,1.42E-04,0.5078,0.4142,6.73E-04,0.3497,0.003913,0.2045
2536.416,-0.001538,0.3249,2.32E-04,0.508,0.4142,7.17E-04,0.3499,0.004052,0.2047
2536.898,-0.001524,0.3251,3.10E-04,0.5083,0.4143,8.20E-04,0.3501,0.00423,0.205
2537.38,-0.001521,0.3252,3.50E-04,0.5085,0.4145,9.64E-04,0.3504,0.004411,0.2052
2537.862,-0.001546,0.3252,3.46E-04,0.5086,0.4147,0.001106,0.3506,0.004554,0.2054
2538.345,-0.0016,0.3253,3.22E-04,0.5088,0.415,0.001204,0.3508,0.004639,0.2056
2538.827,-0.001674,0.3253,3.09E-04,0.5089,0.4152,0.001218,0.3509,0.004652,0.2057
2539.309,-0.001742,0.3253,3.40E-04,0.5091,0.4154,0.001142,0.351,0.004599,0.2057
2539.791,-0.001777,0.3254,4.23E-04,0.5094,0.4155,0.001006,0.3509,0.004507,0.2057
2540.273,-0.001754,0.3255,5.42E-04,0.5096,0.4155,8.56E-04,0.3509,0.004407,0.2057
2540.755,-0.001677,0.3257,6.52E-04,0.5099,0.4155,7.46E-04,0.3509,0.004335,0.2057
2541.237,-0.001574,0.3259,7.08E-04,0.5101,0.4154,7.02E-04,0.351,0.004314,0.2057
2541.719,-0.001482,0.3261,6.87E-04,0.5103,0.4153,7.13E-04,0.3511,0.004345,0.2059
2542.202,-0.001431,0.3262,5.89E-04,0.5103,0.4152,7.52E-04,0.3513,0.004415,0.206
2542.684,-0.00144,0.3263,4.38E-04,0.5104,0.4153,7.89E-04,0.3514,0.004495,0.2062
2543.166,-0.001502,0.3264,2.76E-04,0.5104,0.4154,8.04E-04,0.3516,0.004553,0.2063
2543.648,-0.0016,0.3264,1.41E-04,0.5104,0.4156,8.06E-04,0.3517,0.004562,0.2064
2544.13,-0.001702,0.3264,5.06E-05,0.5105,0.4159,8.19E-04,0.3518,0.004515,0.2064
2544.612,-0.001783,0.3264,8.08E-07,0.5106,0.4161,8.69E-04,0.352,0.004421,0.2064
2545.094,-0.001825,0.3264,-3.27E-05,0.5107,0.4164,9.56E-04,0.3522,0.004307,0.2064
2545.576,-0.001823,0.3265,-7.82E-05,0.5108,0.4166,0.001061,0.3524,0.0042,0.2063
2546.058,-0.001779,0.3267,-1.57E-04,0.5109,0.4169,0.001144,0.3526,0.004128,0.2063
2546.541,-0.001706,0.3269,-2.71E-04,0.511,0.4171,0.001168,0.3528,0.004103,0.2064
2547.023,-0.001623,0.327,-4.02E-04,0.511,0.4175,0.00111,0.3528,0.004129,0.2065
2547.505,-0.001551,0.3272,-5.11E-04,0.5111,0.4179,9.75E-04,0.3528,0.004191,0.2066
2547.987,-0.001503,0.3274,-5.63E-04,0.5112,0.4184,8.01E-04,0.3528,0.004264,0.2068
2548.469,-0.001488,0.3275,-5.28E-04,0.5114,0.4188,6.32E-04,0.3527,0.004321,0.2069
2548.951,-0.001497,0.3276,-4.12E-04,0.5117,0.419,5.12E-04,0.3527,0.004338,0.207
2549.433,-0.001509,0.3277,-2.51E-04,0.512,0.4191,4.63E-04,0.3528,0.00431,0.2071
2549.915,-0.001502,0.3278,-8.82E-05,0.5123,0.4191,4.96E-04,0.353,0.004244,0.2071
2550.398,-0.001449,0.3279,3.60E-05,0.5126,0.419,6.07E-04,0.3532,0.004164,0.2071
2550.88,-0.001344,0.3281,1.09E-04,0.5128,0.4189,7.72E-04,0.3535,0.004102,0.2071
2551.362,-0.00119,0.3284,1.37E-04,0.513,0.4188,9.66E-04,0.3538,0.004091,0.2072
2551.844,-0.001018,0.3286,1.51E-04,0.5132,0.4188,0.001153,0.3541,0.004139,0.2073
2552.326,-8.61E-04,0.3289,1.74E-04,0.5134,0.4189,0.001301,0.3544,0.004237,0.2075
2552.808,-7.59E-04,0.3291,2.12E-04,0.5136,0.4191,0.001378,0.3546,0.004354,0.2077
2553.29,-7.31E-04,0.3292,2.56E-04,0.5138,0.4193,0.001381,0.3547,0.004446,0.2078
2553.772,-7.81E-04,0.3293,2.90E-04,0.514,0.4195,0.001321,0.3547,0.004483,0.2079
2554.254,-9.02E-04,0.3293,3.09E-04,0.5142,0.4196,0.00122,0.3548,0.004445,0.208
2554.737,-0.001057,0.3292,3.24E-04,0.5144,0.4196,0.001117,0.3548,0.004356,0.208
2555.219,-0.001218,0.3291,3.56E-04,0.5146,0.4196,0.001035,0.3548,0.004239,0.2079
2555.701,-0.001355,0.3291,4.31E-04,0.5148,0.4196,9.83E-04,0.3549,0.004124,0.2079
2556.183,-0.001448,0.3291,5.63E-04,0.5151,0.4198,9.58E-04,0.355,0.004032,0.2079
2556.665,-0.00149,0.3292,7.42E-04,0.5155,0.42,9.44E-04,0.3551,0.00397,0.2079
2557.147,-0.00149,0.3293,9.40E-04,0.5158,0.4204,9.24E-04,0.3552,0.003926,0.2079
2557.629,-0.001456,0.3294,0.001122,0.5162,0.4207,8.89E-04,0.3553,0.003896,0.208
2558.111,-0.001411,0.3296,0.001264,0.5165,0.421,8.40E-04,0.3554,0.003869,0.208
2558.594,-0.001372,0.3297,0.00135,0.5168,0.4212,7.80E-04,0.3554,0.003852,0.2081
2559.076,-0.001359,0.3298,0.001382,0.517,0.4212,7.16E-04,0.3555,0.003852,0.2082
2559.558,-0.00138,0.3299,0.001374,0.5171,0.4211,6.53E-04,0.3555,0.003874,0.2083
2560.04,-0.001443,0.3299,0.001326,0.5172,0.4209,5.93E-04,0.3556,0.003923,0.2084
2560.522,-0.001537,0.3299,0.001249,0.5173,0.4208,5.37E-04,0.3557,0.00399,0.2085
2561.004,-0.001639,0.3299,0.001138,0.5174,0.4208,4.88E-04,0.3557,0.004066,0.2087
2561.486,-0.001722,0.3299,0.001002,0.5174,0.4209,4.49E-04,0.3558,0.004142,0.2088
2561.968,-0.001757,0.33,8.53E-04,0.5174,0.4211,4.21E-04,0.3559,0.00421,0.209
2562.45,-0.001728,0.3301,7.08E-04,0.5175,0.4214,4.08E-04,0.356,0.004269,0.2091
2562.933,-0.001647,0.3303,5.86E-04,0.5175,0.4218,4.10E-04,0.3561,0.004318,0.2093
2563.415,-0.001538,0.3305,4.96E-04,0.5176,0.4221,4.28E-04,0.3563,0.004354,0.2094
2563.897,-0.001437,0.3307,4.36E-04,0.5177,0.4223,4.61E-04,0.3564,0.004372,0.2095
2564.379,-0.00137,0.3309,3.95E-04,0.5178,0.4225,5.05E-04,0.3566,0.004366,0.2095
2564.861,-0.001353,0.331,3.56E-04,0.5179,0.4226,5.56E-04,0.3568,0.004332,0.2096
2565.343,-0.001374,0.3311,3.03E-04,0.5181,0.4227,6.06E-04,0.357,0.004276,0.2096
2565.825,-0.001415,0.3312,2.19E-04,0.5181,0.4228,6.49E-04,0.3571,0.004205,0.2096
2566.307,-0.001454,0.3312,9.56E-05,0.5182,0.423,6.77E-04,0.3573,0.004129,0.2096
2566.79,-0.00148,0.3313,-5.92E-05,0.5182,0.4231,6.93E-04,0.3574,0.004054,0.2096
2567.272,-0.001501,0.3314,-2.29E-04,0.5182,0.4232,6.95E-04,0.3575,0.003976,0.2096
2567.754,-0.001537,0.3314,-3.78E-04,0.5182,0.4232,6.84E-04,0.3576,0.003888,0.2096
2568.236,-0.001607,0.3315,-4.72E-04,0.5183,0.4231,6.60E-04,0.3577,0.003787,0.2096
2568.718,-0.001725,0.3315,-4.76E-04,0.5185,0.423,6.19E-04,0.3578,0.003677,0.2096
2569.2,-0.001889,0.3314,-3.66E-04,0.5187,0.4228,5.54E-04,0.3579,0.003574,0.2095
2569.682,-0.002071,0.3313,-1.74E-04,0.5191,0.4227,4.72E-04,0.3579,0.003495,0.2095
2570.164,-0.002233,0.3312,6.74E-05,0.5195,0.4227,3.78E-04,0.3579,0.003465,0.2096
2570.646,-0.002336,0.3312,2.90E-04,0.5199,0.4229,2.87E-04,0.358,0.003491,0.2097
2571.129,-0.002349,0.3313,4.34E-04,0.5202,0.4231,2.09E-04,0.358,0.003566,0.2098
2571.611,-0.002263,0.3315,4.65E-04,0.5204,0.4233,1.48E-04,0.3581,0.003671,0.21
2572.093,-0.002093,0.3318,3.87E-04,0.5205,0.4236,9.96E-05,0.3582,0.003779,0.2102
2572.575,-0.001883,0.3321,2.50E-04,0.5205,0.4239,5.25E-05,0.3582,0.003865,0.2104
2573.057,-0.001679,0.3324,1.12E-04,0.5206,0.424,-1.32E-06,0.3583,0.003921,0.2105
2573.539,-0.001532,0.3327,3.22E-05,0.5207,0.4242,-6.38E-05,0.3584,0.003942,0.2106
2574.021,-0.001461,0.3328,3.02E-05,0.5208,0.4243,-1.28E-04,0.3584,0.003944,0.2107
2574.503,-0.00147,0.3329,9.61E-05,0.5211,0.4245,-1.80E-04,0.3585,0.003945,0.2108
